"original_name","original_type","transformation","field_name","field_type"
"CNPJ ENTIDADE","text","clean_text(""cnpj_entidade"")","sancionado_cnpj","text"
"NOME ENTIDADE","text","clean_text(""nome_entidade"")","sancionado","text"
"NÚMERO CONVÊNIO","text","clean_text(""numero_convenio"")","convenio_numero","text"
"ÓRGÃO CONCEDENTE","text","clean_text(""orgao_concedente"")","orgao","text"
"MOTIVO DO IMPEDIMENTO","text","clean_text(""motivo_do_impedimento"")","motivo","text"
